file,name,dim1_mm,dim2_mm,dim3_mm,circle_ratio,section_axis,section_pos,category,manual_review_required,reason
butylka.stl,Бутылка,305.0,91.3,91.2,0.996,Z,0.24,D,False,круг в сечении: r_in/R_out = 0.996 >= 0.8
cilindr.stl,Цилиндр,435.0,50.0,43.0,0.867,Z,0.95,D,False,круг в сечении: r_in/R_out = 0.867 >= 0.8
korob_300x200x200.stl,Короб 300х200х200,301.0,200.5,200.0,0.72,Z,0.05,B,False,габариты в допуске 10x10x10 .. 450x320x320 мм; макс. коэффициент круга 0.720 < 0.8
korob_400x400x300.stl,Короб 400х400х300,401.0,400.0,300.5,0.716,X,0.05,C,False,габарит 400 мм превышает лимит 320 мм (позиция 2 по убыванию)
lunchbox.stl,ЛанчБокс,201.0,152.4,62.3,0.657,X,0.89,B,False,габариты в допуске 10x10x10 .. 450x320x320 мм; макс. коэффициент круга 0.657 < 0.8
meshok.stl,Мешок,201.6,176.2,169.6,0.894,Y,0.82,D,False,круг в сечении: r_in/R_out = 0.894 >= 0.8
moyushchee_sredstvo.stl,Моющее средство,279.6,259.8,179.2,0.729,X,0.18,B,False,габариты в допуске 10x10x10 .. 450x320x320 мм; макс. коэффициент круга 0.729 < 0.8
pufik.stl,Пуфик,488.9,488.9,264.0,0.999,X,0.11,C,False,габарит 489 мм превышает лимит 450 мм (позиция 1 по убыванию)
ruchka.stl,Ручка,148.5,13.1,9.0,0.997,Z,0.95,C,False,габарит 9.0 мм меньше минимума 10 мм
shlem.stl,Шлем,352.1,297.6,281.6,0.903,Y,0.11,D,False,круг в сечении: r_in/R_out = 0.903 >= 0.8
tarelka.stl,Тарелка,209.5,209.4,26.5,0.998,X,0.56,D,False,круг в сечении: r_in/R_out = 0.998 >= 0.8
