name,dim1_mm,dim2_mm,dim3_mm,circle_ratio,category_rgbd,category_reference,match,rgbd_borderline,points
Бутылка,295.4,102.2,86.7,0.978,D,D,True,False,14283
Цилиндр,430.4,50.0,43.1,0.986,D,D,True,False,13280
Короб 300х200х200,294.5,200.0,199.7,0.719,B,B,True,False,13527
Короб 400х400х300,400.0,396.2,300.0,0.711,C,C,True,False,13057
ЛанчБокс,195.6,147.8,62.3,0.629,B,B,True,False,14467
Мешок,175.4,170.6,170.1,0.987,D,D,True,False,14060
Моющее средство,264.5,249.0,178.0,0.721,B,B,True,True,14526
Пуфик,488.9,467.5,264.7,1.0,C,C,True,False,14271
Ручка,146.3,12.5,9.0,0.629,C,C,True,False,1500
Шлем,355.8,298.0,266.8,0.927,D,D,True,False,13814
Тарелка,205.3,204.8,27.1,0.987,D,D,True,False,14694
