name,category,spawn_y,spawn_yaw,target_zone,actual_zone,correct,final_x,final_y,t_classify_s,t_zone_entry_s,manual_review
Бутылка,D,0.0,0.0,D,D,True,3.26,-1.98,1.3,5.18,False
Бутылка,D,0.06750003051757814,25.0,D,D,True,3.33,-1.7,1.31,5.19,False
Бутылка,D,-0.06750003051757814,-40.0,D,D,True,3.35,-1.74,1.3,5.2,False
Цилиндр,D,0.0,0.0,D,D,True,3.51,-0.96,1.3,5.18,False
Цилиндр,D,0.0025000000000000022,25.0,D,D,True,3.25,-0.94,1.3,5.11,False
Цилиндр,D,-0.0025000000000000022,-40.0,D,D,True,3.47,-0.75,1.3,5.32,False
Короб 300х200х200,B,0.0,0.0,B,B,True,4.5,0.0,1.3,4.93,False
Короб 300х200х200,B,0.0695,25.0,B,B,True,4.34,0.05,1.3,4.97,False
Короб 300х200х200,B,-0.0695,-40.0,B,B,True,4.41,0.15,1.3,5.01,False
Короб 400х400х300,C,0.0,0.0,C,C,True,3.47,0.87,1.3,,False
Короб 400х400х300,C,0.01949999999999999,25.0,C,C,True,3.33,0.75,1.3,,False
Короб 400х400х300,C,-0.01949999999999999,-40.0,C,C,True,3.36,1.09,1.3,,False
ЛанчБокс,B,0.0,0.0,B,B,True,4.41,-0.01,1.3,4.71,False
ЛанчБокс,B,0.1,25.0,B,B,True,4.28,-0.06,1.26,4.69,False
ЛанчБокс,B,-0.1,-40.0,B,B,True,4.31,0.11,1.35,4.79,False
Мешок,D,0.0,0.0,D,D,True,4.09,-2.13,1.3,5.65,False
Мешок,D,0.1,25.0,D,D,True,3.31,-2.53,1.31,5.31,False
Мешок,D,-0.1,-40.0,D,D,True,3.49,-2.61,1.3,5.4,False
Моющее средство,B,0.0,0.0,B,B,True,4.38,0.52,1.3,4.76,False
Моющее средство,B,0.08091798400878905,25.0,B,B,True,4.31,0.06,1.31,4.68,False
Моющее средство,B,-0.08091798400878905,-40.0,B,B,True,4.81,0.57,1.3,4.76,False
Пуфик,C,0.0,0.0,C,C,True,4.52,1.93,1.3,5.7,False
Пуфик,C,0.0,25.0,C,C,True,4.48,1.83,1.3,5.71,False
Пуфик,C,-0.0,-40.0,C,C,True,3.68,2.4,1.3,5.99,False
Ручка,C,0.0,0.0,C,C,True,2.9,-0.0,1.3,,False
Ручка,C,0.1,25.0,C,C,True,3.63,0.31,1.3,5.19,False
Ручка,C,-0.1,-40.0,C,C,True,3.61,0.31,1.3,5.07,False
Шлем,D,0.0,0.0,D,D,True,3.4,-2.47,1.3,5.65,False
Шлем,D,0.07146365356445311,25.0,D,D,True,3.86,-2.29,1.3,5.49,False
Шлем,D,-0.07146365356445311,-40.0,D,D,True,4.36,-1.96,1.33,5.52,False
Тарелка,D,0.0,0.0,D,D,True,3.43,-1.14,1.32,5.09,False
Тарелка,D,0.1,25.0,D,D,True,3.41,-1.15,1.27,5.03,False
Тарелка,D,-0.1,-40.0,D,D,True,3.43,-1.08,1.36,5.14,False
