lambda_s,feed_min,rho,n_trays,util,qmax,mean_wait_s,served,to_tray,lost_overflow,stable
0.5,30.0,0.35,1,0.608,3,1.19,608,609,0,True
1.0,60.0,0.35,1,0.993,20,62.8,993,1208,195,False
1.0,60.0,0.35,2,0.604,3,0.4,1208,1208,0,True
1.5,90.0,0.35,1,0.999,20,67.92,999,1830,810,False
1.5,90.0,0.35,2,0.911,12,4.92,1821,1830,0,True
2.0,120.0,0.35,1,0.999,20,69.23,999,2460,1440,False
2.0,120.0,0.35,2,0.996,20,32.2,1992,2460,447,False
2.0,120.0,0.35,3,0.819,7,1.21,2457,2460,0,True
3.0,180.0,0.35,1,0.999,20,70.11,999,3725,2705,False
3.0,180.0,0.35,2,0.999,20,34.53,1998,3725,1706,False
3.0,180.0,0.35,3,0.997,20,21.83,2991,3725,713,False
3.0,180.0,0.35,4,0.931,14,2.79,3723,3725,0,True
4.0,240.0,0.35,1,0.999,20,70.44,999,5032,4012,False
4.0,240.0,0.35,2,0.999,20,34.97,1998,5032,3012,False
4.0,240.0,0.35,3,0.999,20,22.98,2997,5032,2012,False
4.0,240.0,0.35,4,0.998,20,16.4,3990,5032,1018,False
